,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
70,2020-07-16,2330,68582512,24506038172,359.0,361.0,353.5,357.5,-5.5,35598
71,2020-07-17,2330,66403485,24244495853,361.0,369.0,360.0,367.0,9.5,36729
72,2020-07-20,2330,44940238,16487970674,370.0,370.0,362.5,366.0,-1.0,23335
73,2020-07-21,2330,64440128,24491627162,372.5,387.0,371.5,383.0,17.0,40266
74,2020-07-22,2330,43959670,16844625030,381.0,386.0,379.0,384.0,1.0,25530
75,2020-07-23,2330,45397282,17302637512,382.0,383.0,379.0,381.5,-2.5,22916
76,2020-07-24,2330,90988734,35368857726,390.0,395.0,382.0,386.0,4.5,45099
77,2020-07-27,2330,103315640,43637877952,420.5,424.5,416.5,424.5,38.5,49294
78,2020-07-28,2330,172157746,77804668620,464.0,466.5,428.5,435.0,10.5,92239
79,2020-07-29,2330,88641166,37649278004,428.0,431.5,419.5,422.0,-13.0,53111
80,2020-07-30,2330,69936949,30329225735,436.5,441.0,428.5,434.0,12.0,36627
81,2020-07-31,2330,50484674,21567922126,426.0,432.0,425.5,425.5,-8.5,27653
82,2020-08-03,2330,77288571,32339719000,420.5,424.0,415.0,416.0,-9.5,43360
83,2020-08-04,2330,41697445,17600499460,421.5,425.5,418.5,425.5,9.5,22250
84,2020-08-05,2330,47460834,20356413204,430.5,433.5,426.0,429.0,3.5,24715
85,2020-08-06,2330,43443627,18877761758,437.5,438.0,431.0,435.0,6.0,22414
86,2020-08-07,2330,37611388,16218241255,433.5,434.0,428.0,433.0,-2.0,19739
87,2020-08-10,2330,36067500,15674843876,427.5,437.5,427.5,435.5,2.5,21342
88,2020-08-11,2330,34545313,14918017903,432.0,435.0,429.0,429.0,-6.5,20297
89,2020-08-12,2330,53980474,22721731886,422.0,423.5,419.0,419.0,-10.0,32761
90,2020-08-13,2330,45669335,19514322038,428.0,429.0,424.5,429.0,10.0,21499
